topic_num,size,top_words,sample_comments
11,10,"research, food, fiveyear, standards, applied, roots, healthbrbrcitationsbrglim","them, having clear information about potential allergens is not simply a matter of preference&mdash;it&rsquo;s a matter of health and safety. I have a peanut allergy and have had several reactions due to a lack of food allergen information. Extending allergen labeling requirements to alcoholic beverages brings them in line with the standards already applied to food products, which is long overdue. ||| that the prevalence of food allergies has &ldquo;increased by 50 percent since the 1990s, making it a serious public health concern&rdquo; (Glim). The inconsistencies are doubly troubling due to alcoholic beverages remaining exempt from broader allergen labeling laws, posing risks to those with serious conditions like celiac disease and other grain-based allergies (AAAAI, 2025). A clear, uniform s ||| life-threatening food allergies, we recognize that transparency in ingredient labeling is a matter of public health and safety. The current lack of mandatory allergen disclosure in alcoholic beverages creates a dangerous information gap for millions of Americans with food allergies. This gap leaves them vulnerable to accidental allergen exposure that could result in severe or even fatal anaphylact"
13,10,"alliance, major, unacceptable, yet, allergy, hear, alcoholic","My name is Heidi Baxley, I am a licensed Substance Use Prevention Specialist and Chair of the Utah Prevention Coalition Association. Roughly 11% of U.S. adults have food allergies. Many alcoholic beverages contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. But consumers with food allergies have no way of knowing  ||| In our work, we often hear from Alaskans who are trying to make safer and healthier choices for themselves and their families&mdash;including individuals with food allergies and parents of children with severe reactions. Yet today, they are left guessing whether an alcoholic beverage contains a potentially dangerous allergen.<br/>This is unacceptable. Alcoholic beverages are one of the only consum ||| In our work, we often hear from Alaskans who are trying to make safer and healthier choices for themselves and their families&mdash;including individuals with food allergies and parents of children with severe reactions. Yet today, they are left guessing whether an alcoholic beverage contains a potentially dangerous allergen.<br/>This is unacceptable. Alcoholic beverages are one of the only consum"
9,10,"qr, access, 30pxspanreduced, visible, informationbr2span, immediately, code","of conveying essential product information&mdash;such as ingredients, nutritional content, and allergens&mdash;is inadequate from a public health standpoint.<br/><br/>Key Public Health Concerns with the QR Code Approach:<br/>1.<span style='padding-left: 30px'></span>Limited Access and Equity: Not all consumers have smartphones, reliable internet access, or the technological literacy to use QR code ||| of conveying essential product information&mdash;such as ingredients, nutritional content, and allergens&mdash;is inadequate from a public health standpoint.<br/><br/>Key Public Health Concerns with the QR Code Approach:<br/>1.<span style='padding-left: 30px'></span>Limited Access and Equity: Not all consumers have smartphones, reliable internet access, or the technological literacy to use QR code ||| of conveying essential product information&mdash;such as ingredients, nutritional content, and allergens&mdash;is inadequate from a public health standpoint.<br/><br/>Key Public Health Concerns with the QR Code Approach:<br/>1.<span style='padding-left: 30px'></span>Limited Access and Equity: Not all consumers have smartphones, reliable internet access, or the technological literacy to use QR code"
8,10,"considered, impacts, continue, undue, consideration, appreciates, mexican","information into the ingredient list as the primary method, consistent with existing voluntary declarations (T.D. TTB-53) and in line with the CODEX Alimentarius recommendations. We also suggest that the use of electronic labeling tools, such as QR codes or digital platforms, be considered to provide additional information in a clear, accessible, and consumer-friendly manner.<br/><br/>Finally, we  ||| information into the ingredient list as the primary method, consistent with existing voluntary declarations (T.D. TTB-53) and in line with the CODEX Alimentarius recommendations. We also suggest that the use of electronic labeling tools, such as QR codes or digital platforms, be considered to provide additional information in a clear, accessible, and consumer-friendly manner.<br/><br/>Finally, we  ||| information into the ingredient list as the primary method, consistent with existing voluntary declarations (T.D. TTB-53) and in line with the CODEX Alimentarius recommendations. We also suggest that the use of electronic labeling tools, such as QR codes or digital platforms, be considered to provide additional information in a clear, accessible, and consumer-friendly manner.<br/><br/>Finally, we "
7,10,"production, eggs, date, nuts, used, shellfish, all","The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority under the Federal Alcohol Administration Act with no exceptions. <br/><br/>Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation ||| The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority under the Federal Alcohol Administration Act with no exceptions. Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation. Competit ||| of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority, and under the proposed regulations, labels must declare milk, eggs, fish, crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame, as well as ingredients that contain protein derived from these foods, if used in the production of the alcohol beverage and unless one of th"
14,9,"retailers, cost, will, suppliers, federation, website, effects","I would recommend considering how this affects small producers who might not have the scale to produce these labels for their products. While the purpose of this regulation would be beneficial to the public, I suggest that other methods of warning labels also be introduced and accepted, like the use of QR codes and warning notices at official places of sale instead of on each bottle or can. ||| I have a few recommendations that could potentially improve the rule. <br/><br/>First, I do not believe that using an alternative method such as a website or QR code would be adequate to provide the same information to the consumer. These methods would likely cost the industry the same amount as a website as it would still require an adjustment to the label of the product. Additionally, it may be  ||| What will you do about 50ml? The print will be too small for it to be read. If it is a requirement on all sizes This will harm trial of products (causing issues for both consumers, retailers and suppliers) and will also reduce profits for retailers and suppliers on many levels."
15,9,"files, see, attached, , , , ",See attached file(s) ||| See attached file(s) ||| See attached file(s)
16,9,"more, others, attribute, identification, some, environment, but",Some attribute this to better testing and therefore identification. But others believe we have more allergies because of the environment around us. I also think that more and more Americans are finding that they react to allergens in different ways than before. ​Some​ ​just get a minor reaction but more are reacting more severely while others are getting more chronic allergies. It&rsquo;s good to  ||| Some attribute this to better testing and therefore identification. But others believe we have more allergies because of the environment around us. I also think that more and more Americans are finding that they react to allergens in different ways than before. ​Some​ ​just get a minor reaction but more are reacting more severely while others are getting more chronic allergies. It&rsquo;s good to  ||| Some attribute this to better testing and therefore identification. But others believe we have more allergies because of the environment around us. I also think that more and more Americans are finding that they react to allergens in different ways than before. ​Some​ ​just get a minor reaction but more are reacting more severely while others are getting more chronic allergies. It&rsquo;s good to 
17,9,"brbrroughly, swiftly, brbras, alcoholic, major, dear, feel","Dear Alcohol and Tobacco Tax and Trade Bureau, <br/><br/>As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. <br/><br/>Roughly 11% of U.S. adults have food ||| Dear Alcohol and Tobacco Tax and Trade Bureau, <br/><br/>As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. <br/><br/>Roughly 11% of U.S. adults have food ||| Dear Alcohol and Tobacco Tax and Trade Bureau, <br/><br/>As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. <br/><br/>Roughly 11% of U.S. adults have food"
18,9,"consumers, rule, transparency, requires, size, likely, their","and changing labeling, which would reduce the burden on the industry, while also ensuring that consumers are protected. It is currently difficult to find allergen information for many of the major alcoholic beverage companies via their websites and company representatives, and even more difficult to locate this information for smaller companies and brands. The sooner the industry starts making the ||| if they can safely consume alcoholic beverages because neither ingredient, nor major allergen labeling is required. Nearly all foods and beverages we consume are required to have basic labeling of ingredients and allergens. Alcohol should not be exempt. <br/><br/>The proposed rule, which requires disclosure of the top 9 most common food allergens without exempting processing agents, would greatly  ||| if they can safely consume alcoholic beverages because neither ingredient, nor major allergen labeling is required. Nearly all foods and beverages we consume are required to have basic labeling of ingredients and allergens. Alcohol should not be exempt. <br/><br/>The proposed rule, which requires disclosure of the top 9 most common food allergens without exempting processing agents, would greatly "
19,9,"support, major, subject, alcohol, ttb39s, clear, tax","Dear Alcohol and Tobacco Tax and Trade Bureu Officials,<br/><br/>I am writing in support of the Alcohol and Tobacco Tax and Trade Bureau&rsquo;s proposal to require labeling disclosures for major food allergens used in the production of alcohol beverages.<br/><br/>This is an important and necessary step toward greater transparency and consumer protection. Many individuals, like myself, suffer from ||| I would like to fully support TTB&#39;s proposal to require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority under the Federal Alcohol Administration Act. Under the proposed regulations, unless an exception applies, labels must declare milk, eggs, fish, Crustacean shellfish, tree nuts, wheat, peanuts, soybeans,  ||| To Whom It May Concern:<br/><br/>I write in strong support of the Alcohol and Tobacco Tax and Trade Bureau&rsquo;s (TTB) proposed rule to require the labeling of major food allergens on alcoholic beverages subject to TTB&rsquo;s regulatory authority.<br/><br/>The inclusion of clear and consistent allergen labeling is long overdue. Consumers with food allergies must be able to make informed decisio"
20,9,"makers, dangers, ethical, there, come, many, point","allergies. It&rsquo;s good to revisit whether to make allergen labeling mandatory.<br/><br/>As a starting point, there has ​also been a proliferation of creators of alcoholic beverages. There are now thousands of ​makers of vodka​ and other speciality alcoholic beverages. ​Many are local makers and they are regulated locally​ for production. However, I think that nationwide labeling is needed.<br/ ||| allergies. It&rsquo;s good to revisit whether to make allergen labeling mandatory.<br/><br/>As a starting point, there has ​also been a proliferation of creators of alcoholic beverages. There are now thousands of ​makers of vodka​ and other speciality alcoholic beverages. ​Many are local makers and they are regulated locally​ for production. However, I think that nationwide labeling is needed.<br/ ||| allergies. It&rsquo;s good to revisit whether to make allergen labeling mandatory.<br/><br/>As a starting point, there has ​also been a proliferation of creators of alcoholic beverages. There are now thousands of ​makers of vodka​ and other speciality alcoholic beverages. ​Many are local makers and they are regulated locally​ for production. However, I think that nationwide labeling is needed.<br/"
21,8,"nabi, inrdquo, regulations, ldquoused, major, notice, nprm","Bureau <br/> 1310 G Street NW, Box 12 <br/>Washington, DC 20005 <br/>ATTN: Curt Eilers, Regulations and Rulings Division <br/> <br/>Re: Major Food Allergen Labeling for Wine, Distilled Spirits, and Malt Beverages, Notice No. 238, Docket No. TTB-2025-0002, 90 Fed. Reg. 5763 (January 17, 2025) <br/><br/>Dear Ms. Greenberg and Mr. Eilers: <br/> <br/>The National Association of Beverage Importers (NAB ||| the opportunity to provide comments on the notice of proposed rulemaking (NPRM) on Major Food Allergen Labeling. For the reasons stated below, NABI believes that the Major Food Allergen should remain voluntary. First, the regulatory environment today poses a higher bar for agencies in issuing regulations because of various executive orders. Second, there remains a core question on the structure of ||| the opportunity to provide comments on the notice of proposed rulemaking (NPRM) on Major Food Allergen Labeling. For the reasons stated below, NABI believes that the Major Food Allergen should remain voluntary. First, the regulatory environment today poses a higher bar for agencies in issuing regulations because of various executive orders. Second, there remains a core question on the structure of"
22,8,"allergy, malt, spirits, something, falls, can, wines","Hi, my name is Spencer Sierra. First, I want to thank you for taking the time to read this. I&#39;m writing because I believe that all wines, distilled spirits, and malt beverages should be required to include allergy labels. As someone with a peanut allergy, I understand how serious and potentially life-threatening allergies can be. I also have a cousin with celiac disease, and on multiple occasi ||| Please add food allergy labels to wine, spirits, and malt beverages as it is a safety concern to those who have food allergies and to businesses that serve alcohol. It is nearly impossible to determine if these items contain a food allergen. I have a son who has a food allergy and am concerned without labeling, this is a very possible cause of anaphylaxis for him. Anaphylaxis can result in death a ||| As someone with a food allergy myself, I understand the risk and the struggles that accompany a food allergy. Clear labeling is imperative to ensuring those with allergies like myself are informed of what we are ingesting and can act appropriately if we find we have congested or are about to congest something that we are allergic to. Since alcohol, including wines, distilled spirits, and malt beve"
27,7,"modern, emphasizing, dissatisfaction, advocates, called, expressed, upholds","unforeseen reactions, including triggering allergic responses.<br/> <br/>Secondly, transparency in labeling aligns with modern consumer expectations and public health advocacy. In 2021, various consumer groups and public health advocates called for mandatory labeling, emphasizing that consumers should have full access to information about the content of the products they consume. The public has ex ||| unforeseen reactions, including triggering allergic responses.<br/> <br/>Secondly, transparency in labeling aligns with modern consumer expectations and public health advocacy. In 2021, various consumer groups and public health advocates called for mandatory labeling, emphasizing that consumers should have full access to information about the content of the products they consume. The public has ex ||| unforeseen reactions, including triggering allergic responses.<br/> <br/>Secondly, transparency in labeling aligns with modern consumer expectations and public health advocacy. In 2021, various consumer groups and public health advocates called for mandatory labeling, emphasizing that consumers should have full access to information about the content of the products they consume. The public has ex"
30,7,"winemakers, california, de, attachment, family, spiritueux, fevs","The attachment contains comments by Family Winemakers of California, ||| Please, find enclosed comments on behalf on the F&eacute;d&eacute;ration des Exportateurs de Vins &amp; Spiritueux de France (FEVS) ||| Please, find enclosed comments on behalf on the F&eacute;d&eacute;ration des Exportateurs de Vins &amp; Spiritueux de France (FEVS)"
29,7,"date, executive, order, recommendations, compliance, august, revoked","of three exceptions apply. TTB proposes a compliance date of 5 years from the date that a final rule resulting from this proposal is published in the Federal Register.<br/>I strongly support this proposed regulation to adopt RIN 1513-AC94.<br/>As incoming medical professionals, one rationale behind our support is ensuring accessibility of allergen advisories and safety to everyone purchasing alcoh ||| contained several recommendations, including that &ldquo;TTB should revive or initiate rulemaking proposing ingredient labeling and mandatory information on alcohol content, nutritional content, and appropriate serving sizes.&rdquo;&thinsp; Consistent with the Competition Report&#39;s recommendations, TTB revisited the issue of mandatory allergen labeling for alcohol beverages. However, by Executi ||| contained several recommendations, including that &ldquo;TTB should revive or initiate rulemaking proposing ingredient labeling and mandatory information on alcohol content, nutritional content, and appropriate serving sizes.&rdquo;&thinsp; Consistent with the Competition Report&#39;s recommendations, TTB revisited the issue of mandatory allergen labeling for alcohol beverages. However, by Executi"
28,7,"403w1, fdampc, section, exemption, labelling, act, petition","Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&amp;C Act<br/><br/>This petition, submitted by the Brewing, Food and Beverage Industry Suppliers&#39; Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&amp;C Act) for isinglass when used as a fining/clarific ||| Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&amp;C Act<br/><br/>This petition, submitted by the Brewing, Food and Beverage Industry Suppliers&#39; Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&amp;C Act) for isinglass when used as a fining/clarific ||| Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&amp;C Act<br/><br/>This petition, submitted by the Brewing, Food and Beverage Industry Suppliers&#39; Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&amp;C Act) for isinglass when used as a fining/clarific"
26,7,"voice, choice, advocacy, jonesbrlegislative, incbrwwwavoiceforchoiceadvocacyorgbrbr, brfirstly, brlea","On behalf of A Voice for Choice Advocacy, we believe that the Alcohol and Tobacco Tax and Trade Bureau (TTB) should mandate ingredient labeling of all contents used in the production of alcoholic beverages regulated under the Federal Alcohol Administration Act. This requirement is essential for several reasons.<br/> <br/>Firstly, food allergies are a significant public health concern. According to ||| On behalf of A Voice for Choice Advocacy, we believe that the Alcohol and Tobacco Tax and Trade Bureau (TTB) should mandate ingredient labeling of all contents used in the production of alcoholic beverages regulated under the Federal Alcohol Administration Act. This requirement is essential for several reasons.<br/> <br/>Firstly, food allergies are a significant public health concern. According to ||| On behalf of A Voice for Choice Advocacy, we believe that the Alcohol and Tobacco Tax and Trade Bureau (TTB) should mandate ingredient labeling of all contents used in the production of alcoholic beverages regulated under the Federal Alcohol Administration Act. This requirement is essential for several reasons.<br/> <br/>Firstly, food allergies are a significant public health concern. According to"
23,7,"allergies, frequently, are, positive, comes, lives, food","Full transparency is needed. List Processing Aides as such. Have a separate list for allergens. Products that don&#39;t need certain nutritional info can be eliminated. If these things are expected for food, and small producers of food are able to comply, then small producers of alcohol surely can figure it out. Having this information can potentially have a net positive effect on sales of alcohol ||| Please sign this bill into law. It could save lives. Allergies are a life threatening food disability, many of those suffering with food allergies are unaware of what their beverages may contain. Some may come to find out by having a beverage with friends and instead of enjoying their day end up enduring an allergic reaction. Alcoholic beverages should be held to the same standards as food and dri ||| It would save lives and panic when it comes to consuming alcohol as an adult with food allergies. I have severe tree nut allergies - Amaretto and almond extract are frequently used in drinks. There are also beers/ciders that use hazelnuts and other various forms of nuts for flavor. These have never been explicitly labeled, and I&#39;ve frequently had to hold back on consuming different drinks due "
25,7,"serving, per, lactose, number, me, always, beers","I make sure to ask the bartenders who work directly for the beer-maker, and they do not always know. I always look up the specific beer on beer enthusiast forums and apps to check for lactose content, but often do not find information about lactose. As a result, even despite my own vigilance, I end up drinking beers that harm me (e.g., gastrointestinal pain and distress for hours after). This prop ||| The proposed rule by the TTB is a great rule especially with how in the past allergens were listed as an option. Allergens like milk, fish, soy and peanuts are important due to how an allergic reaction can happen or could potentially kill the drinker, By the Brewers Association the rule it will also disclose, Serving size, number of servings per container, alcohol content, number of ounces per ser ||| The proposed rule by the TTB is a great rule especially with how in the past allergens where listed as an option. Allergens like milk, fish, soy and peanuts are important due to how an allergic reaction can happen or could potentially kill the drinker, By the Brewers Association the rule it will also disclose, Serving size, number of servings per container, alcohol content, number of ounces per se"
24,7,"beveragesrdquo, ldquomajor, spirits, distilled, you, notice, our","&quot;finally, a wine that has no eggs in it! i have been looking all over for something as crucial as this wine!&quot; no more will allergy prone individuals run the risk of tree nuts in their wine. thank you for implementing this policy TTB sign it into law. but, i think instead of a colon after the major food allergy warning, use a semicolon. ||| spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits&rsquo; first export market in value, with exports worth EUR 2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comments  ||| spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits&rsquo; first export market in value, with exports worth EUR 2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comments "
47,6,"403w1, fdampc, section, exemption, labelling, act, petition","Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&amp;C Act<br/><br/>This petition, submitted by the Brewing, Food and Beverage Industry Suppliers&#39; Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&amp;C Act) for isinglass when used as a fining/clarific ||| Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&amp;C Act<br/><br/>This petition, submitted by the Brewing, Food and Beverage Industry Suppliers&#39; Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&amp;C Act) for isinglass when used as a fining/clarific ||| Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&amp;C Act<br/><br/>This petition, submitted by the Brewing, Food and Beverage Industry Suppliers&#39; Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&amp;C Act) for isinglass when used as a fining/clarific"
46,6,"cancer, et, consumption, other, program, identified, government39s","This is a non-issue pushed by nefarious actors who are actively pushing against the alcohol industry. This proposed rule would add increased cost to our labels, require the incurred cost of additional time to comply, and require us to change our labels at great cost to provide this information that NO consumers are asking for. People that consume alcohol are aware of the risks thanks to the existi ||| that most other consumable products already contain this detailed labeling. Why should alcohol be any different than other consumables, especially because alcohol consumption is identified by the United States federal government&#39;s National Toxicology Program as a known human carcinogen (see attachment)? Years of evidence have shown that there is no safe amount of alcohol to consume for cancer  ||| that most other consumable products already contain this detailed labeling. Why should alcohol be any different than other consumables, especially because alcohol consumption is identified by the United States federal government&#39;s National Toxicology Program as a known human carcinogen (see attachment)? Years of evidence have shown that there is no safe amount of alcohol to consume for cancer "
