topic_num,size,top_words,sample_comments
9,8,"foods, even, xyzquot, conditions, contain, disclosed, contact","a limited list of major allergens.<br/><br/>Millions of Americans today are avoiding specific ingredients beyond the eight major allergens &mdash; including things like seed oils, artificial flavorings, stabilizers, sulfites, and sweeteners &mdash; due to allergies, autoimmune reactions, or other serious health conditions. These ingredients, though not legally classified as allergens, can cause in ||| ingredients list&rdquo; [5]. In the ingredients claims, the amount stating they were gluten free or contained no high fructose corn syrup outnumbered the amount containing allergens by more than a factor of 4. This fact highlights the ongoing problems with alcohol regulation in the nutritionary field. If practically all other foods and beverages require nutrition labels, aside from fresh fruits, s ||| and rely on labeling to determine which products are safe to consume. This information is not required on alcoholic beverages, but many alcoholic beverages do contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. <br/><br/>Currently, consumers with food allergies have no way of knowing if they can safely consume alc"
13,7,"isinglass, stylepaddingleft, beer, petition, exemption, exemptions, from","style='padding-left: 30px'></span>International regulatory bodies (EFSA, FSANZ, Health Canada) have granted similar exemptions based on comparable evidence.<br/>&bull;<span style='padding-left: 30px'></span>Literature reviews and updated searches found no documented cases of allergic reactions to isinglass in beer or wine.<br/><br/>The petition concludes that isinglass-fined beer does not elicit a ||| a purified collagen derived from the swim bladders of select tropical and subtropical fish species. It has been used for centuries in brewing to clarify beer, and is removed from the final product through filtration or sedimentation. The petition presents comprehensive scientific, analytical, and clinical evidence demonstrating that isinglass does not pose an allergenic risk to fish-allergic indiv ||| Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&amp;C Act<br/><br/>This petition, submitted by the Brewing, Food and Beverage Industry Suppliers&#39; Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&amp;C Act) for isinglass when used as a fining/clarific"
14,7,"calorie, calories, nutritional, according, simultaneously, were, adding","overall health of the American public, specifically regarding the calorie labels. According to a study by the University College London, they found that those who purchased alcohol with calorie labels went on to purchase 500 fewer calories of alcohol than those who purchased no labels [2]. At the same time, they concluded that there was little evidence to support the claim that health warning labe ||| claim that health warning labels could reduce alcohol consumption.<br/>To further this point of nutritional labeling being added to alcoholic beverages, an initiative should be implemented to promote education surrounding dieting and calorie counting. According to a study in 1992 conducted by New England Journal of Medicine, it was found the obese individuals in the study underreported their calor ||| average by 47%, while simultaneously underreporting their physical activity by 51% [3]. Through this, one can draw the conclusion that nutritional labeling is either not being read or not being understood correctly. To further this, as a college student, many of us tend to miscount or disregard calorie intake as a whole, particularly discounting alcoholic beverages when it comes to calories. I mys"
12,7,"bill, around, contamination, cross, spending, worried, sign","This should 100% be enacted. I have multiple family members with major allergies that this will benefit greatly. Most producers do not label when allergens are used in the production process which has led to multiple allergy attacks that could have been prevented. This will benefit all. ||| reduce ample amounts of spending and time around medical issues. As someone worried about cross contamination and the well being of close people with allergies, this small step can bring waves of good. ||| Please sign this bill into law. With a strong reasoning for government action, the legal publishing and transparency around food labeling is critical to the health and safety of the general public. The importance of setting a legal standard across all consumed goods reflects the nature that one&#39;s health takes priority over companies&#39; advertising budgets and aesthetics. This bill could redu"
11,7,"would, enhance, consumer, alcohol, at, wellpositioned, safetybr","basic public health standard, not a guessing game. This rule aligns with existing food labeling laws under FDA jurisdiction and would bring alcohol beverages up to the same level of consumer transparency and safety.<br/><br/>Providing this information helps customers make informed decisions and protects vulnerable individuals. I appreciate the five-year compliance window, which gives producers tim ||| which upholds ambiguity. A standardized disclosure of all ingredients would be a significant step toward greater transparency and consumer protection.<br/> <br/>Furthermore, the TTB possesses the statutory authority under the Federal Alcohol Administration Act to ensure that consumers receive &quot;adequate information&quot; about the identity and quality of alcohol products. The absence of mandat ||| that the TTB is well-positioned to address. Implementing such regulations would not only enhance consumer awareness but also foster trust in alcohol brands that prioritize transparency and safety.<br/> <br/>Lastly, the proposed regulations align with the TTB&#39;s mission to protect public health and well-being. By establishing uniform ingredient labeling requirements, the TTB would not only fulfi"
10,7,"proposal, wines, proposed, distilled, in, malt, spirits","I think it is due time that beverage companies be held to the same transparency that all food &amp; other adhere too. This is apparent for many reasons including toxic materials, dietary decisions, and allergens. I think a few consumers who follow vegan lifestyles may find it upsetting to have their wines and beverages filtered by fish or egg by products. My wife has many allergies including peas  ||| I stand with the new proposal to require allergen labeling for wines, distilled spirits, and malt beverages. This regulation is essential to ensure that consumers are fully informed about the ingredients in the beverages they consume and to reduce the risk of allergic reactions due to misinformation. For individuals with allergies, drinking a beverage containing an allergen poses the same health r ||| I support the proposal to require disclosure of major food allergens on wines, distilled spirits, and malt beverage labels. Consumers deserve clear and consistent information about ingredients that may pose health risks to potential buyers. This rule aligns alcohol labeling with existing food allergen standards and promotes transparency and safety for individuals with allergies. The proposed compl"
15,6,"companies, based, allergen, postdistillation, they, will, beverage","foods due to general moral concerns such as milk, eggs, and other animal-derived ingredients. These concerns could rise from industry standards or practices that make people more concise of what they consume. The addition of major allergen labeling allows for people to choose thoroughly what they put into their own bodies. Providing clear allergen labeling could assist people in choosing what they ||| Any trace amount of allergen protein can be detrimental for a consumer with an allergy. According to FARE (Food Allergy Research &amp; Education), 33 million Americans have food allergies and more than half of adults with food allergies have experienced a severe reaction. TTB should require companies that claim to have distilled their beverage so that there is no allergen protein to submit these t ||| and changing labeling, which would reduce the burden on the industry, while also ensuring that consumers are protected. It is currently difficult to find allergen information for many of the major alcoholic beverage companies via their websites and company representatives, and even more difficult to locate this information for smaller companies and brands. The sooner the industry starts making the"
16,6,"bourbon, wheat, distillery, wheatquot, will, creambased, quotcontains","I am a consumer of distilled spirits mostly high end bourbon and American whiskey. I do believe this rule would be a hindrance to smaller distilleries and in a large part unnecessary in that the distillation process removes these allergens. It will cause more hurdles for distilleries that already have so many rules to follow. ||| to be labeled &quot;Contains wheat&quot;? It does not contain wheat. This rule may apply to a distillery making a cream-based beverage such as bourbon cream or Irish cream (which contain milk/cream). Will we be required to place standard boilerplate language such as &quot;Bottled in a distillery that handles wheat,&quot; or &quot;May contain XXX&quot; like on some food products? Will we be allowed ||| This proposal will be onerous to most spirit distillers, such as bourbon, who are not allowed to use any additives. Will this only be required IF a product contains a food additive after distillation? The FDA has clarified for example, that NO distilled spirit contains gluten even if the base ingredients include wheat. Will a bourbon that contains wheat need to be labeled &quot;Contains wheat&quot"
17,6,"enquiry, submitted, wto, tbt, behalf, grow, comments","These comments are submitted on behalf of the European Commission, DG Internal Market, Industry, Entrepreneurship and SMEs (GROW) International Value Chains &ndash; A3<br/> ||| The attached comments are submitted on behalf of Jiao Yang, Deputy Director General of China&#39;s WTO/TBT National Notification &amp; Enquiry Center.<br/> ||| The attached comments are submitted by the USA WTO TBT Enquiry Point on behalf of the WTO TBT Enquiry Point of Japan."
18,6,"printing, drink, they, life, nonalcoholic, human, imperative","million Americans are living with food allergies, some of whom with allergies so severe they would experience a life-threatening emergency if not adequately informed. After this regulation was first introduced, the majority of comments during public hearings were universally supportive of RIN 1513-AC94. The Asthma and Allergy Foundation of America, a patient advocacy organization, stated that &ldq ||| To whom it may concern,<br/><br/>We are a group of allergen-concerned citizens who wish to convey our support for the proposed regulation. Thank you for your time and consideration of our stance on this issue. Approximately 33 million Americans have major food allergies which affect their everyday life (Food Allergy Research &amp; Education Organization, 2024). It is imperative that they are able  ||| able to understand the allergens contained in all food and drink they consume, not just non-alcoholic beverages. Printing a label on a bottle costs less than $1 per label, especially if labels are printed in bulk as they would typically be in large manufacturing processes (Avery Printing). The cost of printing an additional allergen label does not outweigh the potential threat to human life posed "
19,6,"trade, tax, tobacco, major, subject, alcohol, strong","Public Comment on Notice No. 238 &ndash; Major Food Allergen Labeling for Alcohol Beverages<br/><br/>I am writing in support of TTB&rsquo;s proposed rule to require mandatory labeling of major food allergens on alcohol beverages. As someone who works at Walgreens, where we operate a liquor store, I have seen firsthand how alcohol products currently lack clear allergen labeling. While I have not ye ||| Dear Alcohol and Tobacco Tax and Trade Bureu Officials,<br/><br/>I am writing in support of the Alcohol and Tobacco Tax and Trade Bureau&rsquo;s proposal to require labeling disclosures for major food allergens used in the production of alcohol beverages.<br/><br/>This is an important and necessary step toward greater transparency and consumer protection. Many individuals, like myself, suffer from ||| My name is Annika Dhawan and I am a third year MD/MPH students at a university-affiliated hospital in South Florida.<br/>The regulation I wish to provide commentary on is RIN 1513-AC94, Major Food Allergen Labelling for Wines, Distilled Spirits, and Malt Beverages proposed by the Alcohol and Tobacco Tax and Trade Bureau (TTB) on 01/17/2025. This regulation proposes to require disclosure of all maj"
26,5,"wineries, proposed, small, fine, stop, georgia, ttb","Since the creation of the Alcohol and Tobacco Tax and Trade Bureau (TTB) in 2003 after an extensive reorganization of the Bureau of Alcohol, Tobacco, Firearms, and Explosives (ATF), the TTB has been the main agency in control of alcoholic beverages. The TTB works closely with the Food and Drug Administration (FDA) for the health and safety of their consumable products. That being said, this propos ||| De Maison Selections Inc. is a small business with 20 employees that imports fine wines, ciders, and spirits from small, family-owned wineries in France and Spain. We are addressing the questions the TTB raised in the notice of proposed rulemaking. <br/><br/>Overall Comment on Proposed Rulemaking:<br/>Complying with the proposed regulation would result in up-front costs in both time and money. Whi ||| Govt overreach. Stop forcing companies to comply with stupid rules. If you have allergies it is your choice what to consume. If wine makers want to list them as a way to capture that market, fine. But this should never be mandated. Especially in wine. What else is on wine other than nitrates and fruit juice? Stop the tyranny. This exact thing is a place DODGE needs to end."
32,5,"finalize, brbras, brbrroughly, swiftly, disclose, alcohol, bureau","To whom, <br/><br/>I urge the Alcohol and Tobacco Tax and Trade Bureau (TTB) to require alcohol labels to disclose all common allergens found in their product and/or manufacturing process. The alcohol industry has long existed in the United States with little checks, but that must change. Consumers have a right to understand exactly what they are ingesting, especially if it could cause them advers ||| Dear Alcohol and Tobacco Tax and Trade Bureau, <br/><br/>As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. <br/><br/>Roughly 11% of U.S. adults have food ||| Dear Alcohol and Tobacco Tax and Trade Bureau, <br/><br/>As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. <br/><br/>Roughly 11% of U.S. adults have food"
31,5,"32, alcohol, americans, million, cdc, unaware, centers","Labeling spirits and distilled alcoholic beverage with relevant allergy information is imperative in order to better public health. In a day and age of growing food allergies, in which roughly 33 million Americans have food allergies including 1 and 10 adults and 1 and 13 children, failing to provide critical medical information is continued evidence of a government failure (FARE, 2019). In order  ||| Centers for Disease Control and Prevention (CDC), approximately 32 million Americans suffer from food allergies. Currently, many consumers remain unaware that alcohol beverages often lack proper ingredient labeling, including allergen labeling requirements established by the Food Allergen Labeling and Consumer Protection Act (FALCPA). By requiring comprehensive ingredient disclosure, TTB would emp ||| On behalf of A Voice for Choice Advocacy, we believe that the Alcohol and Tobacco Tax and Trade Bureau (TTB) should mandate ingredient labeling of all contents used in the production of alcoholic beverages regulated under the Federal Alcohol Administration Act. This requirement is essential for several reasons.<br/> <br/>Firstly, food allergies are a significant public health concern. According to"
29,5,"butter, sulfites, beverage, contains, these, no, httpsprecisionpointdiagnosticscomalcoholseffectonfoodallergiesandsensitivities","recall tens of thousands of butter due to the label not mentioning it contains butter [7], then there is no reason why any alcoholic beverage should not be required to contain a nutritional label, let alone an allergen statement.<br/> ||| As a Registered Dietitian working closely with patients who have allergies, I strongly support allergen labeling on alcohol products. Many individuals with food allergies rely on clear ingredient information to avoid potential health risks. Since alcohol can contain hidden allergens such as gluten, nuts, sulfites, or artificial additives, transparent labeling is essential for their safety.<br/><br ||| Please include major food allergens on alcoholic beverage labels. These drinks should be viewed no differently than other beverages and foods which require the notice of these ingredients because they could potentially harm the safety and well-being of the consumers. Alcoholic beverages are no different. To assure the greatest safety for the consumers, these ingredients should be bolded and separa"
28,5,"date, shellfish, eggs, tree, publication, wheat, peanuts","compliance date five years from the publication of the final rule, which allows manufacturers ample time to adapt. However, we encourage TTB to consider whether a shorter timeline could be safely implemented, particularly for high-risk allergens like peanuts and shellfish.<br/><br/>Mandatory allergen labeling on all alcoholic beverages would be a significant advancement in consumer protection, ali ||| of all major allergens,milk, eggs, fish, Crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame&mdash;along with any ingredients containing protein derived from these sources, is essential. Alcoholic beverages are often consumed in social settings where individuals may not have immediate access to emergency medication, and where ingredient transparency is critical for making informe ||| of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority, and under the proposed regulations, labels must declare milk, eggs, fish, crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame, as well as ingredients that contain protein derived from these foods, if used in the production of the alcohol beverage and unless one of th"
27,5,"approaches, celebration, educationbrbrwhile, operationsbrbralternative, understanding, implications, turn","health. Do not be swayed by arguments that alcohol beverage is non-essential and thus excused from disclosures: these products are presented in media as being the essential elements of cultured dining and enjoyment, the singular beverage for celebration and other occasions. Do not let them sweep more dirty alcohol business under the rug for the next generation. <br/><br/>Act now to protect the Ame ||| hold back on consuming different drinks due to not knowing the ingredients. I stick to beers I know are safe to consume, however as a 27-year-old woman I would love to be able to order a cocktail without panicking about a life-or-death scenario. This could help so many people and give so many people peace of mind when eating out and drinking with friends. It is a scary world when food and alcohol  ||| their operations.<br/><br/>Alternative Approaches for Consumer Education<br/><br/>While understanding the health implications of alcohol consumption is essential, there are alternative methods to educate consumers without imposing stringent labeling requirements. Public health campaigns and digital platforms can effectively disseminate information about responsible drinking and health risks associ"
30,5,"journal, br, 2017, manning, quotldquomay, 447472br, containrdquo","Louise Manning. &quot;&ldquo;May Contain&rdquo; allergen statements: Facilitating or frustrating consumers?.&quot; Journal of consumer policy 40.4 (2017): 447-472.<br/> https://www.researchgate.net/publication/276387231_Consumer_Perceptions_of_Gluten-Free_Products_and_the_Healthfulness_of_Gluten-Free_Diets <br/> Michigan v. EPA, 576 U.S. 743, 2015)<br/><br/> ||| ; Mainente, Federica, et al. &quot;The food allergy risk management in the EU labelling legislation.&quot; Journal of Agricultural and Environmental Ethics 30 (2017): 275-285. <br/> Hefle, Susan L., et al. &quot;Consumer attitudes and risks associated with packaged foods having advisory labeling regarding the presence of peanuts.&quot; Journal of Allergy and Clinical Immunology 120.1 (2007): 171-1 ||| 65% supported adding allergens, and 66% supported adding calorie content [4]. On top of this, the CSPI found that &ldquo;more than 75% of respondents&rdquo; preferred reading this information on the label rather than through an online resource. Despite the favoritism, the government has made the majority of labeling policies voluntary. The CSPI found that only &ldquo;17% of labels contained an ing"
25,5,"wineries, theyrsquore, ndash, fining, small, mdash, if","documentation, and labeling costs. The biggest challenge is whether wineries can always determine with certainty if allergens used in processing leave any trace in the final product. If the rule does not clearly define this, small wineries may face compliance challenges and increased operational costs.<br/><br/>Alternative proposal: Either maintain the current voluntary reporting structure, and/or ||| Process Transparency &ndash; Many small wineries rely on third-party suppliers for certain additives (like fining agents). If these contain allergens, wineries will need to obtain and verify detailed ingredient documentation, which may not always be straightforward.<br/><br/>Potential for Consumer Confusion &ndash; If wineries are required to disclose allergens even when they are only used in proc ||| apparent whether trace amounts of allergens remain in the final product, so small wineries may need additional testing and record-keeping.<br/><br/>Compliance Burden &ndash; Small wineries may have limited resources to conduct allergen testing, verify ingredient sources, and update labeling. Unlike large-scale producers with dedicated compliance teams, small wineries may face higher relative costs"
23,5,"businesses, communities, small, dependent, wineries, breakfast, bed","The current US Administration ran on a platform that emphasized reduction in regulations and promotion of the use of common sense; let&#39;s apply the Administration&#39;s policy strategy to this question. The grape and wine industry is an extremely regulated industry and operates on very fragile margins; any new regulation imposed should be carefully considered from the perspective of the impact  ||| danger and harm sales, small businesses and rural communities. <br/>Many of our wineries in the not only the state but the region are small family owned farm businesses. Businesses that are already running on very tight budgets. These businesses bring in vital revenue, jobs, and tourism to often very economically stressed rural communities. Many other small businesses in those communities are depe ||| are dependent on the winery&#39;s presence, restaurants, hotels, bed and breakfast, events centers, and other agritourism based businesses are some examples. Placing these extra stresses on the wineries, but also endangers many supporting businesses dependent on the winery to bring customers to their rural communities. <br/>"
22,5,"cancer, et, 2023, al, seidenberg, mdash, recent","therefore alcoholic product must contain these warnings, as is seen on other potentially cancer-causing products (Seidenberg, Wiseman, &amp; Klein, 2023). A recent study found that 65.1% of American support warning labels on products and 63.9% support drinking guidelines being added to alcoholic products (Seidenberg et al., 2021). That is why we also feel strongly that a cancer warning be prominen ||| that most other consumable products already contain this detailed labeling. Why should alcohol be any different than other consumables, especially because alcohol consumption is identified by the United States federal government&#39;s National Toxicology Program as a known human carcinogen (see attachment)? Years of evidence have shown that there is no safe amount of alcohol to consume for cancer  ||| that excessive consumption is related to at least seven types of cancer in humans (Jun et al., 2023; LoConte et al., 2017). Most recent data shows that over 17,000 Americans die of alcohol-related cancers each year (CDC ARDI, 2024). A study conducted by the American Association for Cancer Research found only approximately 30% of Americans are aware of this association, therefore alcoholic product "
21,5,"religious, labeling, infer, dangers, detriment, ethical, there","what they would like based on their personal values and dietary restrictions. <br/><br/>Implementing allergen labeling on certain alcoholic beverages is a matter of public health, the rights of a consumer, and can assist ethical considerations. Without clear transparency in labeling individuals with allergies could be at risk and consumers could mistakenly by breaking ethical or religious observan ||| detriment to consumers as most Americans would infer that since the Food Allergen Labeling and Consumer Protection (FALCPA) Act of 2004 and Food Allergy Safety, Treatment, Education and Research (FASTER) Act of 2021 that alcohol would also be covered. It would inherently be sensible for commonly consumed products to also have food allergen labeling. <br/><br/>Another concern for not labeling major ||| With such a large percentage of the population consuming alcohol, the lack of allergen labeling presents a health risk to some individuals. Most other processed products and products that contain added ingredients require there to be an allergen label. Though the products that fall under these regulations are guided by the FDA while alcohol is not. This is also a detriment to consumers as most Ame"
20,5,"onlabel, stylepaddingleft, tobrbullspan, key, volume, 30pxspanrequire, abv","On behalf of Alcohol Justice Executive Director Cruz Avila, our comment is attached as a PDF. ||| to:<br/>&bull;<span style='padding-left: 30px'></span>Require on-label disclosure of key information: alcohol by volume (ABV), ingredient lists, common allergens, calories per serving, and nutritional information.<br/>&bull;<span style='padding-left: 30px'></span>Limit the use of QR codes to supplemental information only, not as a substitute for on-label transparency.<br/>&bull;<span style='paddin ||| further confusing consumers and limiting usefulness.<br/>4.<span style='padding-left: 30px'></span>Consumer Expectation of On-Label Information: Unlike most other packaged food and beverages, alcohol products are still not required to provide basic nutritional or ingredient data directly on the label. Continuing this practice via QR codes perpetuates a harmful double standard.<br/><br/>Recommendat"
24,5,"stylepaddingleft, 30pxspanbullspan, rule, advisory, ttb, proposed, disclosure","the transparency required for nearly all other foods and beverages.<br/><br/>I commend TTB for taking an important step toward protecting consumers with this proposed rule. Requiring disclosure of the top 9 major food allergens, including when used as processing aids, is a meaningful and necessary improvement. However, the rule could be even stronger and more effective with the following changes:< ||| tribal areas. I agree that any use of a major food allergen or its protein derivative in production would require disclosure, regardless of any threshold level.<br/><br/>This proposed rule matters for public health because improved transparency regarding food and drink consumption is of utmost importance, enabling people to make informed decisions of what they ingest. Though there are costs associ ||| allergen advisory labeling, such as statements that a product may contain a major food allergen, e.g., &lsquo;May Contain (major food allergen).&rsquo;&rdquo; TTB is concerned that allergen advisory labeling could be misused, yet this omission creates a loophole that could leave sensitive consumers vulnerable, especially in the absence of mandatory ingredient disclosure. In addition, by allowing i"
40,4,"adopt, exceptions, everyone, 5year, ensuring, date, compliance","without excessive burden. This thoughtful approach demonstrates a balanced consideration of both consumer protection and industry practicality.​<br/><br/>Implementing mandatory allergen labeling will foster greater consumer confidence and demonstrate a strong commitment to public health and transparency within the alcohol industry. I strongly encourage the TTB to promptly adopt this important regu ||| TTB&#39;s proposed allergen labeling rule is critical for consumer safety, aligning alcohol with FALCPA standards. Mandating clear disclosures of major allergens prevents life-threatening reactions. The 5-year compliance period balances industry adaptation. Ensure exceptions (e.g., allergen removal processes) are science-based and transparent. Support timely implementation to protect public health ||| of three exceptions apply. TTB proposes a compliance date of 5 years from the date that a final rule resulting from this proposal is published in the Federal Register.<br/>I strongly support this proposed regulation to adopt RIN 1513-AC94.<br/>As incoming medical professionals, one rationale behind our support is ensuring accessibility of allergen advisories and safety to everyone purchasing alcoh"
