topic_num,top_words,sample_comments,bertopic_dominant_topic,size
11,"trade, new, international, labeling, would, costs, requirements","identity and quality of alcohol beverages if alcohol beverage containers do not include Alcohol Facts labeling? How do those benefits compare to the cost s and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide significant ben efits to the consumer and would generate u ||| not include Alcohol Facts labeling? How do those benefits compare to the costs and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide any benefits to consumer s and would generate unnecessary costs and regulatory burdens. 7. How, if at all, would the new mandatory labe ||| not include Alcohol Facts labeling? How do those benefits compare to the costs and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide any benefits to consumer s and would generate unnecessary costs and regulatory burdens. 7. How, if at all, would the new mandatory labe",11.0,9
21,"clutter, becomes, qr, code, this, labels, up","This label requirement will not help the consumer to make informed decisions. It will just clutter the label and confuse the consumer. <br/><br/>If this becomes a requirement, please allow a QR code to be printed in the label and lined to the website ||| There is no need to clutter up the labels with excessive information. my primary suggestion is if this info becomes required, that the TTB allow it to be provided with a QR code instead of having to clutter up labels with all that additional (&amp; ugly!) text. ||| I find this unnecessary but if it becomes mandatory do not clutter up more product labels (consumers will NOT read more clutter) use a QR code.",21.0,8
13,"the, spirits, eu, in, and, facts, we","spiritsEUROPE rue Belliard, 12 – Bte 5 | 1040 Brussels, Belgium Tel: + 32 (2) 7792423 | info@spirits.eu | www.spirits.eu spiritsEUROPE Comments Notification G/TBT/N/USA/2182 Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Introduction spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associati ||| De Maison Selections Inc. is a small business with 20 employees that imports fine wine, cider, and spirits from small, family-run wineries in France and Spain. We are commenting on the questions the TTB posed in the proposed rulemaking notice.<br/><br/>Although there has been little to no demand for nutritional information from our distributors and consumers, we understand the motivations behind t ||| Public Comment on Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages [Docket No. TTB-2025-0002; Notice No. 237] De Maison Selections Inc. is a small business with 20 employees that imports fine wine, cider, and spirits from small, family-run wineries in France and Spain. We are commenting on the questions the TTB posed in the proposed rulemaking notice. Overal",13.0,8
29,"attached, see, pdf, please, comment, , ",See Attached ||| See Attached ||| See Attached,29.0,6
20,"alcoholic, to, calories, beverages, not, is, info","I am strongly in favor of requiring an alcohol facts statements on alcoholic beverages. I realize there are intricacies involved at the regulatory level since the FDA has authority over food labeling while the TTB has authority over alcohol labeling, but from the perspective of a general citizen, it does not make sense that foods and nonalcoholic beverages are required to declare nutrition facts b ||| requirements? Our position highli ghts that requiring the ""Alcohol Facts"" panel on labels would not genuinely benefit consumers. From a public health perspective, the true objective of alcoholic beverage labeling is to discourage harmful alcohol consumption. Including nutritional information on labels could easily lead people to believe that these beverages have some sort of health benefit, which  ||| requirements? Our position highli ghts that requiring the ""Alcohol Facts"" panel on labels would not genuinely benefit consumers. From a public health perspective, the true objective of alcoholic beverage labeling is to discourage harmful alcohol consumption. Including nutritional information on labels could easily lead people to believe that these beverages have some sort of health benefit, which ",20.0,6
38,"them, required, clutter, it, text, wineries, up","I don&#39;t think this should have to be required on all wine labels but if this info becomes required, I would propose that a small QR code be included on the label instead of having to clutter up labels with all the ugly text! What makes picking wine fun sometimes is picking the wine with prettiest label artwork. ||| If this information becomes mandatory, it will be challenging to fit it, along with all the other required details, onto labels. This change would significantly reduce space for descriptive text and branding graphics. For small wineries, the costs associated with label redesign, compliance, and administrative adjustments would be substantial. These expenses, combined with lab analysis costs&mdash; ||| We do not want to have to include those facts on our wine labels because there&rsquo;s already not a lot of room on labels, and those facts will clutter them up and take alway from the look and feel that people gravitate towards. If those facts need to be required or accessible to people, I strongly suggest that the TTB allow it to be provided via a QR code or listed somewhere on wineries&rsquo; w",38.0,5
4,"fat, alcohol, be, beverages, of, consumers, sodium","speciﬁcally seeks comments on whether fat and protein, which are not typically found in certain alcohol beverages, should be listed only if present at speciﬁc levels. If so, what levels should trigger these requirements? TTB also seek comments on whether any other nutrients, such as sodium, caffeine, or sugar, should be required to be listed if present at a speciﬁc level, even if they do not other ||| an expectation that labeling is different. Mandatory Calorie & Nutrient Information Should TTB's proposed nutrient content labeling statement be more consistent with the Nutrition Facts Label found on foods that are under FDA's labeling jurisdiction? Alternatively, do the differences between alcohol beverages and other foods make it unnecessary, or even misleading, to adopt the type of nutrient la ||| There is already an expectation that labeling is different. Mandatory Calorie & Nutrient Information 1. Should TTB's proposed nutrient content labeling statement be more consistent with the Nutrition Facts Label found on foods that are under FDA's labeling jurisdiction? Alternatively, do the differences between alcohol beverages and other foods make it unnecessary, or even misleading, to adopt the",4.0,5
34,"year, taxed, spirits, distilleries, revenue, removals, in","In 2024 total beverage alcohol volumes declined year over year for the first time in many years. This proposal will increase the decline further and put the alcohol industry into a deeper recession. Is now really the time to implement these changes that will be more difficult on the smaller producers? <br/><br/>Long term this proposal will result in lowered revenue across the board for all produce ||| and increasingly diﬃcult marketplace in which to operate. The slowing post-pandemic marketplace has hampered U.S. spirits industry revenue, which decreased by $424M in 2024—a 1.1% year over year decline 7—and these trends have only continued in 2025. According to the National Beverage Alcohol Control Association (NABCA), in control states, spirits dollar sales are down 1.4% annually in the 12-mont ||| small distilleries to purchase. We believe that only a relatively small portion of distilled spirits produced by small distillers under a 1 percentage point tolerance would have a low enough alcohol content to experience a significant variation in alcohol content. We also acknowledge that labeled vs. actual alcohol content carries different tax implications for distilled spirits than for malt beve",34.0,3
19,"allergen, changes, notice, any, members, with, to","above, an analysis of labels from top wine and beer brands that 63% of beers chose to include the statement of average analysis—proof that this is feasible. It is also worth noting that higher prices for alcoholic beverages, assuming that manufacturers pass at least some of any added costs on to consumers, would not be a bad thing from a public health perspective. Policies that increase the price  ||| cycle. Another roughly one-third suggested that label redesigns are rare or infrequent but with less clarity on number of years, suggesting a longer time cycle for at least some of their labels. The Brewers Association also supports Notice 237’s proposal to allow the addition of nutritional information without the need for a new COLA. Submitting and receiving label approval for a new COLA takes ti ||| choose to comply earlier obviously would be free to do so and, if QR code transmission was permitted, we believe you would see a host of companies able to comply in very quick order given the ease of updating or changing information hosted on those webpages. If required on label, however, some of our members indicated that they would opt to begin to include the required information as a brand goes",19.0,3
8,"serving, alcohol, statement, the, information, of, in","reflecting Serving Facts information on primary and secondary packaging or near the net contents information on both primary and secondary packaging display panels. However, compliance costs and regulatory burden will increase if the requirements change. * 1. Does the proposal to require alcohol content information as part of the Alcohol Facts statement affect competition or issues addressed by in ||| that the product contains less than 0.5% alcohol by volume, but not require a specific statement of percentage of alcohol by volume. Placement of Alcohol Content Statements as Part of Alcohol Facts Statement 1. Would it be easier for consumers to locate alcohol content information on a label if it is required to be included in the Alcohol Facts statement and if so, why? 2. Alternatively, should TT ||| but not require a specific statement of percentage of alcohol by volume. Placement of Alcohol Content Statements as Part of Alcohol Facts Statement Would it be easier for consumers to locate alcohol content information on a label if it is required to be included in the Alcohol Facts statement and if so, why? Alternatively, should TTB allow alcohol content labeling as an optional element of the Alc",8.0,2
7,"tolerance, alcohol, content, malt, percentage, for, the",to the IRC? Should TTB increase the labeling tolerance to one percentage point above or below the statement amount for all malt beverage and beers? This would alleviate the need for expensive specialized equipment needed to test for alcohol content to a sufficient degree of certainty to meet the current tolerance standards. Would consumers receive adequate information about the alcohol content of  ||| the marketplace if such disclosure is required. TTB also seeks comment on whether consumers would receive adequate information about the alcohol content of malt beverages if the tolerance were increased. BI Response: Applying a basic alcohol disclosure standard – like the mandatory and voluntary standards already in place and adding alcohol by volume to all “IRC Alcohol beverages” is appropriate a ||| the marketplace if such disclosure is required. TTB also seeks comment on whether consumers would receive adequate information about the alcohol content of malt beverages if the tolerance were increased. BI Response : Applying a basic alcohol disclosure standard – like the mandatory and voluntary standards already in place and adding alcohol by volume to all “IRC Alcohol beverages” is appropriate ,7.0,2
22,"tequila, the, its, of, mezcal, and, la","August, 14, 2025. Agency responsible: Alcohol and Tobacco Tax and Trade Bureau (TTB), Department of the Treasury USA WTO TBT Inquiry Point, Email: usatbtep@nist.gov Subject: Comments on: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages To whom it may concern, I write to you today on behalf of the Mezcal Sustainability Alliance , a strategic collaboration amo ||| From: Cámara Nacional de la Industria Tequilera To: Alcohol and Tobacco Tax and Trade Bureau (TTB) Subject: Comments on: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Docket No. TTB-2025-0002; Notice No. 237 Notification : G/TBT/N/USA/2182 Agency responsible: Alcohol and Tobacco Tax and Trade Bureau (TTB), Department of the Treasury USA WTO TBT Inquiry Po ||| From: Cámara Nacional de la Industria Tequilera To: Alcohol and Tobacco Tax and Trade Bureau (TTB) Subject: Comments on: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Docket No. TTB-2025-0002; Notice No. 237 Notification : G/TBT/N/USA/2182 Agency responsible: Alcohol and Tobacco Tax and Trade Bureau (TTB), Department of the Treasury USA WTO TBT Inquiry Po",22.0,2
37,"notice, listening, sessions, 232, ttb, 73, virtual","statements on a voluntary basis while the Bureau continued to consider the proposed rule. TTB withdrew the Serving Facts rulemaking from the Unified Agenda of Federal Regulatory and Deregulatory Actions in the fall of 2017. In the intervening years, the TTB has received letters from various groups to revisit the potential for changes to beverage alcohol labels. Additionally, in 2022 the Department ||| recommended that the TTB renew their rulemaking on alcohol content, nutritional content, and appropriate serving sizes for alcohol beverage labels. This is Notice No. 237. The information that TTB is proposing is the alcohol facts which includes calorie and nutrient content to consumers. Goldstein (2024) reported consumers need or want to know about the additives and ingredients in alcoholic bever ||| TTB renew their rulemaking on alcohol content, nutritional content, and appropriate serving sizes for alcohol beverage labels. This is Notice No. 237. The information that TTB is proposing is the alcohol facts which includes calorie and nutrient content to consumers. Goldstein (2024) reported consumers need or want to know about the additives and ingredients in alcoholic beverages to avoid for hea",37.0,2
35,"pg, peg, transparency, and, food, or, in","Propylene glycol (PG) and polyethylene glycol (PEG) are chemical compounds used in various food and pharmaceutical products, including some alcoholic beverages, primarily as stabilizers, solvents, or carriers for flavorings. Disclosing these substances on alcoholic beverage labels is important for several reasons:<br/>⸻<br/>1. Consumer Health and Safety<br/>&bull; Allergic Reactions and Sensitivit ||| July 14, 2025 Mary G. Ryan Administrator Alcohol and Tobacco Tax and Trade Bureau (TTB) U.S. Department of Treasury Comment on Proposed Rules re Alcohol Facts Statements, Major Food Allergens in the Labeling of Wines, Distilled Spirits, and Malt Beverages (Dockets No. TTB-2025-0002; TTB-2025-0003) VIA ONLINE SUBMISSION Dear Administrator Ryan: Consumer Federation of America appreciates the opportu ||| that may cause adverse reactions.2 A product that was once safe to consume may change formulations without the consumer’s knowledge. This lack of labeling creates unnecessary risk for individuals with food sensitivities or health conditions. While this proposed rule does not address allergen disclosure, like that of Docket No. TTB-2025-0003,3 it lays the foundation for consumer transparency among ",35.0,2
30,"cost, wine, inventories, wineries, that, analysis, existing","take up to two years to implement. Beyond the vineyard and winery, the wine marketplace is also distinct in terms of both the number of producers and unique wines available. According to TTB, there are currently more than 17,500 bonded wine producers across the US and approximately 6,300 of them are in California. Like our membership, the overwhelming majority of these are small, family-owned Page ||| are concerned that TTB ’s cost analysis does not fully reflect the likely fiscal impact on the nation’s 17,000+ wineries. TTB’s analysis of the cost impact on wineries is based in large part on NielsenIQ data including an estimate of the number of universal product codes (UPCs) associated with wines in the US marketplace. We are very concerned that focusing on UPCs may vastly undercount the number ||| information that can be changed without the need for a new COLA which suggests that many COLAs may be active in the marketplace for multiple years (if not many years). As a result, bw166 estimates that there are between 300,000 and 400,000 distinct wine products for sale in the US at any given time and which would require a newly designed label 1 https://www.bw166.com/data-science-services/ Page 3",30.0,2
33,"drink, standard, guidelines, drinking, of, consumers, alcohol","moderate drinking advice, such as the statement: “The Dietary Guidelines for Americans recommend that adults who choose to drink should limit intake to two standard drinks or less in a day for men and one standard drink or less in a day for women (on days when alcohol is consumed)” 26 in bold, as illustrated in Figure 1 (above). Consumers can only follow moderate drinking advice to the extent they ||| Dietary Guidelines for Americans, 2020–2025, use the terms ‘‘drink,’’ and ‘‘alcoholic drink equivalent,’’ and seeks comments on whether any of those terms should be used or defined for use on labels. “Alcoholic drink equivalent” is unnecessarily garbled. While many consumers understand what a “drink” is, few have ever encountered the phrase “alcoholic drink equivalent.” If the goal is providing co ||| the proposed Alcohol Facts statement improve the ability of consumers to follow the consumption and moderation advice provided by governmental and health agencies, if they so choose? Is there a better way of presenting the volume of alcohol content per serving? Specifically, should the term “standard drink” be defined and used in place of or in addition to fluid ounces of pure ethyl alcohol per se",33.0,1
36,"abv, wine, is, alcohol, of, content, as","wines. This is true in the US and many parts of the world. As a result, consumers are already familiar with and understand how to interpret ABV levels in wines. This consumer acceptance of ABV labeling is reflected not only in the US’s current labeling regulations but also in multiple trade agreements to which the US is a party. The World Wine Trade Group Agreement on Requirements for Wine Labelin ||| statement on the labels of beers not defined as “malt beverages.” These products, which are under FDA labeling jurisdiction, are required to bear the “Nutrition Facts” panel, but consumers often miss out on vital alcohol content information because %ABV is not mandatory. This information is both important for public health and, as explained in the rule, would facilitate revenue protection by makin ||| track their consumption. The risks from acute overconsumption, when comparing e.g. half a bottle of 8% ABV wine to half a bottle of 13% ABV wine, are moderate but present. The risks from chronic consumption at that level are substantial. While we maintain that the “j-shaped curve” is largely an artifact of poor study design,6 even studies which support that curve find that purported benefits evapo",36.0,1
15,"the, products, that, to, or, for, on","Sugar Content Statements Should Remain Optional In its NPRM, TTB proposed to allow optional sugar content statements as part of the Alcohol or Serving Facts statement. DISCUS supports the optional inclusion of sugar content statements, consistent with the current approach, and agree with its inclusion in the Alcohol or Serving Facts statement if provided. D. Inclusion of Micronutrients Should Rema ||| information, such as serving size, number of calories and grams of carbs, protein, and fat per serving size, through either of the currently TTB-approved formats (Serving Facts panel or statement of average analysis) on new labels by June 2024.18 This information is now available for all spirits products distributed in the United States by DISCUS Director Members, either displayed directly on the  ||| the stringently regulated di stillation process, Scotch Whisky spirits do not contain carbohydrates, fat, or protein. Requiring extensive nutritional information on labels, especially when most of the nutritional facts are not applicable to distilled spirits, risks confusing consumers into the belief that they have a ""nutritional benefit” and that some alcoholic beverages are more nutritious than ",15.0,1
31,"june, accessed, 2025, 11, alcohol, and, beverages","August 15, 2025 Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW, Box 12 Washington, DC 20005 Comment on Proposed Rule: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages (Docket No. TTB-2025-0002) The undersigned organizations call on the Alcohol and Tobacco Tax and Trade Bureau (TTB) to finalize the proposed rule mand ||| for those looking to avoid allergens—such as sulfites and grains like wheat, rye, or barley—or animal products that are sometimes used as flavoring or fining agents, which are used to filter out impurities and improve the clarity of some alcoholic beverages. 7 Common animal-based fining agents include milk byproducts including whey, casein, and lactose. Other ingredients commonly found in alcoholi ||| April 23, 2025 Director Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW. Box 12 Washington, DC 20005 Re: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages (Docket No. TTB-2025-0002) To Whom it May Concern, The American Society for Nutrition (ASN) appreciates the opportunity to comment on Alcohol Facts Statements in th",31.0,1
27,"ciders, hard, cider, nutritional, and, to, fermentation","Additional on -product labelling requirements present numerous disadvantages both to consumers and businesses, particularly SMEs. Distilled spirits are one of the most highly regulated products in the United States, subject to rigorous pre -approval processes for labels and formulas. Despite this, the industry has proactively developed and implemented various self-regulatory initiatives to provide ||| 1 Comments on Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Docket No. TTB-2025-0002, Notice No. 237, RIN 1513-AC93 I appreciate the opportunity to offer my individual comments on the proposed rule regarding Alcohol Facts statements in the labeling of wines, distilled spirits, and malt beverages. The intent and purpose of this rule are commendable, as it  ||| hard ciders due to their unique characteristics, rather than jamming them into a non-germane category. Hard ciders differ from other alcoholic beverages in alcohol content, packaging sizes, fermentation processes, and nutritional profiles. Alcohol Content: Hard ciders vary significantly in alcohol content, from low-alcohol variants to levels comparable to wine or beer. Clear guidelines based on al",27.0,1
26,"disclosures, electronic, bi, information, label, the, ttb","it include the option of satisfying the requirement by making the information available electronically, for example by including a QR code or website address on the label to allow consumers to view mandatory Alcohol Facts statements on their mobile devices instead of on the product label? Would this option provide consumers with sufficient access to Alcohol Facts information at the retail store so ||| BI sees no benefits to aligning nutrition and alcohol content disclosures in the United States with requirements from other countries with different laws and regulatory structures. The costs of compliance and regulatory burden would increase, and consumers in the U.S. may be more confused than informed by labeling requirements imported from other markets. 53. If TTB adopts mandatory Alcohol Facts  ||| aligning Alcohol Facts information to requirements of other countries? BI Response: BI sees no benefits to aligning nutrition and alcohol content disclosures in the United States with requirements from other countries with different laws and regulatory structures. The costs of compliance and regulatory burden would increase, and consumers in the U.S. may be more confused than informed by labeling ",26.0,1
24,"fevs, content, the, statement, alcohol, to, of","proposed by TTB as well as the use of “typical value” charts in order to ease the ability of wine and spirits operators, especially SMEs, fulfilling the envisaged requirements. FEVS strongly encourages TTB to work as far as possible with US trade partners to develop a coordinated approach on these “typical values”. FEVS would like also to stress the importance of including in the TTB regulation th ||| small batches and cannot spread testing costs over many units. Mandatory Listing of Alcohol by Volume on All Alcohol Beverage Products We have no objections to the proposal requiring an alcohol content statement expressed as a percentage of alcohol by volume on all alcohol beverage labels. This requirement does not pose any issues, as it is already mandatory in Argentina to indicate the alcohol co ||| small batches and cannot spread testing costs over many units.* Mandatory Listing of Alcohol by Volume on All Alcohol Beverage Products *We have no objections to the proposal requiring an alcohol content statement expressed as a percentage of alcohol by volume on all alcohol beverage labels. This requirement does not pose any issues, as it is already mandatory in Argentina to indicate the alcohol ",24.0,1
23,"smartlabel, product, information, pages, brands, the, page","of consumers believe that integrating product information with SmartLabel will improve their impression of the brand. Consequently, SmartLabel food labeling provides the product information consumers seek to make informed decisions about the CPG products they purchase. SmartLabel Standardizes the Product Data Display SmartLabel complies with GS1 data standards (sourced via the Global Data Synchron ||| brand owners and grocery retailers to give consumers access to more detailed product information than could ever fit on a package. SmartLabel serves as the defacto standard for consumer transparency and allows brands to display state and federally mandated and voluntary label information . Currently 80 parent companies participate in the SmartLabel program, representing more than 1,000 brands and  ||| Research Validates SmartLabel as a Digital Transparency Tool Through consumer research , SmartLabel has confirmed that consumers expect the labeling information in SmartLabel to be consistent with the information on the label. As noted, the program SmartLabel® Comments to Docket No. TTB-2025-0002; Notice No. 237 July 9, 2025 Page 8 of 10 conducts annual reviews of SmartLabel pages to ensure the da",23.0,1
